code,factory_name,mark4_name,factory_identity_name,factory_units,mark4_units,units_delta_mark4_minus_factory,factory_litres,mark4_litres,litres_delta_mark4_minus_factory,factory_litres_per_unit,mark4_litres_per_unit
FG0000004,COLD PRESS 5 LTR 4 PCS,COLD PRESS 5 LTR 4 PCS,COLD PRESS 5 LTR 4 PCS,45000.000,45000.0,0.000,225000.000,225000.0,0.000,5.000000,5.0
FG0000005,EXTRA LIGHT OLIVE 1 LTR 16 PCS,EXTRA LIGHT OLIVE 1 LTR 16 PCS,EXTRA LIGHT OLIVE 1 LTR 16 PCS,75000.000,75000.0,0.000,75000.000,75000.0,0.000,1.000000,1.0
FG0000006,POMACE OLIVE 200 LTR 1 PCS,POMACE OLIVE 200 LTR 1 PCS,POMACE OLIVE 200 LTR 1 PCS,5.000,5.0,0.000,1000.000,1000.0,0.000,200.000000,200.0
FG0000008,POMACE OLIVE 5 LTR TIN 4 PCS,POMACE OLIVE 5 LTR TIN 4 PCS,POMACE OLIVE 5 LTR TIN 4 PCS,31000.000,31000.0,0.000,155000.000,155000.0,0.000,5.000000,5.0
FG0000009,EXTRA LIGHT OLIVE 5 LTR TIN 4 PCS,EXTRA LIGHT OLIVE 5 LTR TIN 4 PCS,EXTRA LIGHT OLIVE 5 LTR TIN 4 PCS,4600.000,4600.0,0.000,23000.000,23000.0,0.000,5.000000,5.0
FG0000011,MUSTARD KACCHI GHANI 5 LTR 4 PCS,MUSTARD KACCHI GHANI 5 LTR 4 PCS,MUSTARD KACCHI GHANI 5 LTR 4 PCS,46000.000,46000.0,0.000,230000.000,230000.0,0.000,5.000000,5.0
FG0000012,MUSTARD PAKKI GHANI 5 LTR 4 PCS,MUSTARD PAKKI GHANI 5 LTR 4 PCS,MUSTARD PAKKI GHANI 5 LTR 4 PCS,2400.000,2400.0,0.000,12000.000,12000.0,0.000,5.000000,5.0
FG0000015,REFINED OIL 15 LTR,REFINED OIL 15 LTR,REFINED OIL 15 LTR,4000.000,4000.0,0.000,60000.000,60000.0,0.000,15.000000,15.0
FG0000021,REFINED OIL 1 LTR POUCH 12 PCS,REFINED OIL 1 LTR POUCH 12 PCS,REFINED OIL 1 LTR POUCH 12 PCS,11000.000,11000.0,0.000,11000.000,11000.0,0.000,1.000000,1.0
FG0000026,MUSTARD KACCHI GHANI 15 LTR,MUSTARD KACCHI GHANI 15 LTR,MUSTARD KACCHI GHANI 15 LTR,333.000,333.0,0.000,4995.000,5000.0,5.000,15.000000,15.0
FG0000028,POMACE OLIVE 1 LTR 16 PCS,POMACE OLIVE 1 LTR 16 PCS,POMACE OLIVE 1 LTR 16 PCS,160000.000,160000.0,0.000,160000.000,160000.0,0.000,1.000000,1.0
FG0000029,MUSTARD PAKKI GHANI 2 LTR 10 PCS,MUSTARD PAKKI GHANI 2 LTR 10 PCS,MUSTARD PAKKI GHANI 2 LTR 10 PCS,6000.000,6000.0,0.000,12000.000,12000.0,0.000,2.000000,2.0
FG0000030,MUSTARD KACHI GHANI 1 LTR 20 PCS,MUSTARD KACHI GHANI 1 LTR 20 PCS,MUSTARD KACHI GHANI 1 LTR 20 PCS,690000.000,690000.0,0.000,690000.000,690000.0,0.000,1.000000,1.0
FG0000031,MUSTARD PAKKI GHANI 1 LTR 20 PCS,MUSTARD PAKKI GHANI 1 LTR 20 PCS,MUSTARD PAKKI GHANI 1 LTR 20 PCS,20000.000,20000.0,0.000,20000.000,20000.0,0.000,1.000000,1.0
FG0000032,COLD PRESS 1 LTR 20 PCS,COLD PRESS 1 LTR 20 PCS,COLD PRESS 1 LTR 20 PCS,110000.000,110000.0,0.000,110000.000,110000.0,0.000,1.000000,1.0
FG0000033,COLD PRESS 1 LTR + 1 LTR COMBO 10 SET,COLD PRESS 1 LTR + 1 LTR COMBO 10 SET,COLD PRESS 1 LTR + 1 LTR COMBO 10 SET,15000.000,15000.0,0.000,30000.000,30000.0,0.000,2.000000,2.0
FG0000034,EXTRA LIGHT OLIVE 200 LTR 1 PCS,EXTRA LIGHT OLIVE 200 LTR 1 PCS,EXTRA LIGHT OLIVE 200 LTR 1 PCS,150.000,150.0,0.000,30000.000,30000.0,0.000,200.000000,200.0
FG0000035,COLD PRESS 500 MLS 24 PCS,COLD PRESS 500 MLS 24 PCS,COLD PRESS 500 MLS 24 PCS,10000.000,10000.0,0.000,5000.000,5000.0,0.000,0.500000,0.5
FG0000038,MUSTARD KACCHI GHANI 2 LTR 10 PCS,MUSTARD KACCHI GHANI 2 LTR 10 PCS,MUSTARD KACCHI GHANI 2 LTR 10 PCS,15000.000,15000.0,0.000,30000.000,30000.0,0.000,2.000000,2.0
FG0000039,EXTRA LIGHT OLIVE 500 MLS 24 PCS,EXTRA LIGHT OLIVE 500 MLS 24 PCS,EXTRA LIGHT OLIVE 500 MLS 24 PCS,1000.000,1000.0,0.000,500.000,500.0,0.000,0.500000,0.5
FG0000042,EXTRA VIRGIN OLIVE 1 LTR 16 PCS,EXTRA VIRGIN OLIVE 1 LTR 16 PCS,EXTRA VIRGIN OLIVE 1 LTR 16 PCS,22000.000,22000.0,0.000,22000.000,22000.0,0.000,1.000000,1.0
FG0000043,COLD PRESS 3 LTR 6 PCS,COLD PRESS 3 LTR 6 PCS,COLD PRESS 3 LTR 6 PCS,6667.000,6667.0,0.000,20001.000,20000.0,-1.000,3.000000,3.0
FG0000053,COLD PRESS SUNFLOWER 5 LTR 4 PCS,COLD PRESS SUNFLOWER 5 LTR 4 PCS,COLD PRESS SUNFLOWER 5 LTR 4 PCS,22000.000,22000.0,0.000,110000.000,110000.0,0.000,5.000000,5.0
FG0000064,EXTRA LIGHT OIVE 2 LTR 10 PCS HANDLE,EXTRA LIGHT OIVE 2 LTR 10 PCS HANDLE,EXTRA LIGHT OIVE 2 LTR 10 PCS HANDLE,13500.000,13500.0,0.000,27000.000,27000.0,0.000,2.000000,2.0
FG0000070,COLD PRESS 2 LTR 10 PCS HANDLE,COLD PRESS 2 LTR 10 PCS HANDLE,COLD PRESS 2 LTR 10 PCS HANDLE,2500.000,2500.0,0.000,5000.000,5000.0,0.000,2.000000,2.0
FG0000074,EXTRA VIRGIN OLIVE 5 LTR TIN 4 PCS IMPORTED,EXTRA VIRGIN OLIVE 5 LTR TIN 4 PCS IMPORTED,EXTRA VIRGIN OLIVE 5 LTR TIN 4 PCS IMPORTED,2000.000,2000.0,0.000,10000.000,10000.0,0.000,5.000000,5.0
FG0000081,COLD PRESS SUNFLOWER 1 LTR 20 PCS,COLD PRESS SUNFLOWER 1 LTR 20 PCS,COLD PRESS SUNFLOWER 1 LTR 20 PCS,310000.000,310000.0,0.000,310000.000,310000.0,0.000,1.000000,1.0
FG0000088,COLD PRESS 1 LTR +1 LTR COMBO 10 SET PLAIN,COLD PRESS 1 LTR +1 LTR COMBO 10 SET PLAIN,COLD PRESS 1 LTR +1 LTR COMBO 10 SET PLAIN,2500.000,2500.0,0.000,5000.000,5000.0,0.000,2.000000,2.0
