father,child,per_piece,source_template,note
FG0000442,RM0000025,13.19,FG0000444,12 kg / 910 g/L — SAP's own 12 KGS BOM uses exactly this
FG0000442,PM0000076,1,FG0000444,TIN 15 LTR — the >12 L bucket container
FG0000442,PM0000078,1,FG0000444,CAPS 5 LTR/15 LTR
FG0000442,PM0000629,1,FG0000444,CARTON TIN TOP
FG0000442,PM0000660,0.01,FG0000444,TIN STRIP (KGS)
FG0000442,PM0000890,1,FG0000444,LABEL 12 KG REFINED SOYABEAN
FG0000452,RM0000054,0.5,FG0000352,plain SEASAME OIL — template uses toasted RM0000053
FG0000452,PM0000150,1,FG0000352,GLASS BOTTLE 500 MLS
FG0000452,PM0000155,1,FG0000352,SHRINKS NECK 500 MLS
FG0000452,PM0000333,1,FG0000352,CAPS 250 MLS GLASS BOTTLE
FG0000452,PM0000729,1,FG0000352,CAPS INNER PET BOTTLE 250 MLS
FG0000452,PM0000910,1,FG0000352,LABEL 500 ML FP SESAME FRONT — exists, unused
FG0000452,PM0000911,1,FG0000352,LABEL 500 ML FP SESAME BACK — exists, unused
FG0000452,PM0000153,0.0833333,FG0000352,CARTON 500 MLS 12 PCS
FG0000452,PM0000075,0.0486833,FG0000352,TAPE LOGO PRINTED (MTR)
FG0000448,RM0000003,0.5,FG0000035,MUSTARD LOOSE OIL
FG0000448,PM0000125,1,FG0000035,PET BOTTLE 500 MLS 34 GMS
FG0000448,PM0000235,1,FG0000449,CAPS 1 LTR WHITE AND YELLOW — every Kachi Ghani PET uses this
FG0000448,PM0000904,1,FG0000035,LABEL 500 ML CP KACHI GHANI FRONT — exists, unused
FG0000448,PM0000905,1,FG0000035,LABEL 500 ML CP KACHI GHANI BACK — exists, unused
FG0000448,PM0000128,0.0416667,FG0000035,CARTON 500 MLS 24 PCS
FG0000448,PM0000075,0.0333333,FG0000035,TAPE LOGO PRINTED (MTR)
FG0000451,RM0000009,0.2,FG0000409,REFINED SUNFLOWER — every Cold Press Sunflower SKU uses it
FG0000451,PM0000058,1,FG0000409,PET BOTTLE 200 MLS
FG0000451,PM0000235,1,FG0000409,CAPS 1 LTR WHITE AND YELLOW SMALL PLAIN
FG0000451,PM0000902,1,FG0000409,LABEL 200 ML CP SUNFLOWER FRONT — exists, unused
FG0000451,PM0000903,1,FG0000409,LABEL 200 ML CP SUNFLOWER BACK — exists, unused
FG0000451,PM0000507,0.0142857,FG0000409,CARTON — 1/70; plan says 35 PCS, SAP name says 70
FG0000451,PM0000075,0.0137886,FG0000409,TAPE LOGO PRINTED (MTR)
