group	section	host	path	methods	classification	proven	const	fields	evidence	source
platform	Help-Support-Center	sellercentral.amazon.in	/communities/seller-news/articles	GET	READ	PROVEN		4	PROVEN live GET 200 (200)	live-walk
platform	Help-Support-Center	sellercentral.amazon.in	/cu/case-lobby	?	READ			0	page route — server-rendered GET	d1bkay65ooam95.cloudfront.net_help_hub_main.952fe11d767a76f7ba6b.chunk.min.js
platform	Help-Support-Center	sellercentral.amazon.in	/cu/contact-us	?	READ		url	0	page route — server-rendered GET	d1bkay65ooam95.cloudfront.net_help_hub_12.f82baeb2833629d5b516.chunk.min.js
platform	Help-Support-Center	sellercentral.amazon.in	/forums/index.jspa	?	READ		url	0	page route — server-rendered GET	d1bkay65ooam95.cloudfront.net_help_hub_12.f82baeb2833629d5b516.chunk.min.js
platform	Help-Support-Center	sellercentral.amazon.in	/forums/t/	?	READ			0	page route — server-rendered GET	d1bkay65ooam95.cloudfront.net_help_hub_amznvendor.f13c0a826c39124a21fa.chunk.min.js
platform	Help-Support-Center	sellercentral.amazon.in	/gp/aw/help	?	UNKNOWN		path	0	verb and posture not proven (G1: denied)	d1bkay65ooam95.cloudfront.net_help_hub_12.f82baeb2833629d5b516.chunk.min.js
platform	Help-Support-Center	sellercentral.amazon.in	/gp/case-dashboard	?	UNKNOWN			0	verb and posture not proven (G1: denied)	d1bkay65ooam95.cloudfront.net_help_hub_main~preload.2e2ae902aa4dcc50778f.chunk.min.js
platform	Help-Support-Center	sellercentral.amazon.in	/gp/contact-amazon	?	UNKNOWN			0	verb and posture not proven (G1: denied)	d1bkay65ooam95.cloudfront.net_help_hub_main~preload.2e2ae902aa4dcc50778f.chunk.min.js
platform	Help-Support-Center	sellercentral.amazon.in	/gp/contact-us	?	UNKNOWN			0	verb and posture not proven (G1: denied)	d1bkay65ooam95.cloudfront.net_help_hub_main~preload.2e2ae902aa4dcc50778f.chunk.min.js
platform	Help-Support-Center	sellercentral.amazon.in	/gp/help	?	UNKNOWN		path	0	verb and posture not proven (G1: denied)	d1bkay65ooam95.cloudfront.net_help_hub_12.f82baeb2833629d5b516.chunk.min.js
platform	Help-Support-Center	sellercentral.amazon.in	/gp/help/	GET	READ			0	GET (documented from bundle)	d1bkay65ooam95.cloudfront.net_help_hub_main~preload.2e2ae902aa4dcc50778f.chunk.min.js
platform	Help-Support-Center	sellercentral.amazon.in	/gp/help/customer/	?	READ		path	0	page route — server-rendered GET	d1bkay65ooam95.cloudfront.net_help_hub_12.f82baeb2833629d5b516.chunk.min.js
platform	Help-Support-Center	sellercentral.amazon.in	/gp/help/embed/{guid}	?	READ		path	0	page route — server-rendered GET	d1bkay65ooam95.cloudfront.net_help_hub_12.f82baeb2833629d5b516.chunk.min.js
platform	Help-Support-Center	sellercentral.amazon.in	/gp/help/embed/{param}	?	READ		source	0	page route — server-rendered GET	d1bkay65ooam95.cloudfront.net_help_hub_amznvendor.f13c0a826c39124a21fa.chunk.min.js
platform	Help-Support-Center	sellercentral.amazon.in	/gp/help/external	?	READ		path	0	page route — server-rendered GET	d1bkay65ooam95.cloudfront.net_help_hub_12.f82baeb2833629d5b516.chunk.min.js
platform	Help-Support-Center	sellercentral.amazon.in	/gp/help/external/	GET	READ			0	GET (documented from bundle)	d1bkay65ooam95.cloudfront.net_help_hub_main~preload.2e2ae902aa4dcc50778f.chunk.min.js
platform	Help-Support-Center	sellercentral.amazon.in	/gp/help/external/help-content.html	?	READ		path	0	page route — server-rendered GET	d1bkay65ooam95.cloudfront.net_help_hub_12.f82baeb2833629d5b516.chunk.min.js
platform	Help-Support-Center	sellercentral.amazon.in	/gp/help/external/help-folder.html	?	READ		path	0	page route — server-rendered GET	d1bkay65ooam95.cloudfront.net_help_hub_12.f82baeb2833629d5b516.chunk.min.js
platform	Help-Support-Center	sellercentral.amazon.in	/gp/help/external/help-home.html	?	READ		path	0	page route — server-rendered GET	d1bkay65ooam95.cloudfront.net_help_hub_12.f82baeb2833629d5b516.chunk.min.js
platform	Help-Support-Center	sellercentral.amazon.in	/gp/help/external/help-page.html	?	READ		path	0	page route — server-rendered GET	d1bkay65ooam95.cloudfront.net_help_hub_12.f82baeb2833629d5b516.chunk.min.js
platform	Help-Support-Center	sellercentral.amazon.in	/gp/help/external/help.html	?	READ		path	0	page route — server-rendered GET	d1bkay65ooam95.cloudfront.net_help_hub_12.f82baeb2833629d5b516.chunk.min.js
platform	Help-Support-Center	sellercentral.amazon.in	/gp/help/external/home	?	READ		path	0	page route — server-rendered GET	d1bkay65ooam95.cloudfront.net_help_hub_12.f82baeb2833629d5b516.chunk.min.js
platform	Help-Support-Center	sellercentral.amazon.in	/gp/help/external/home.html	?	READ		path	0	page route — server-rendered GET	d1bkay65ooam95.cloudfront.net_help_hub_12.f82baeb2833629d5b516.chunk.min.js
platform	Help-Support-Center	sellercentral.amazon.in	/gp/help/external/login-help.html	?	READ		path	0	page route — server-rendered GET	d1bkay65ooam95.cloudfront.net_help_hub_12.f82baeb2833629d5b516.chunk.min.js
platform	Help-Support-Center	sellercentral.amazon.in	/gp/help/external/{guid}/	?	READ		path	0	page route — server-rendered GET	d1bkay65ooam95.cloudfront.net_help_hub_12.f82baeb2833629d5b516.chunk.min.js
platform	Help-Support-Center	sellercentral.amazon.in	/gp/help/help-content.html	?	READ		path	0	page route — server-rendered GET	d1bkay65ooam95.cloudfront.net_help_hub_12.f82baeb2833629d5b516.chunk.min.js
platform	Help-Support-Center	sellercentral.amazon.in	/gp/help/help-folder.html	?	READ		path	0	page route — server-rendered GET	d1bkay65ooam95.cloudfront.net_help_hub_12.f82baeb2833629d5b516.chunk.min.js
platform	Help-Support-Center	sellercentral.amazon.in	/gp/help/help-home.html	?	READ		path	0	page route — server-rendered GET	d1bkay65ooam95.cloudfront.net_help_hub_12.f82baeb2833629d5b516.chunk.min.js
platform	Help-Support-Center	sellercentral.amazon.in	/gp/help/help-page.html	?	READ		path	0	page route — server-rendered GET	d1bkay65ooam95.cloudfront.net_help_hub_12.f82baeb2833629d5b516.chunk.min.js
platform	Help-Support-Center	sellercentral.amazon.in	/gp/help/help-popup.html	?	READ		path	0	page route — server-rendered GET	d1bkay65ooam95.cloudfront.net_help_hub_12.f82baeb2833629d5b516.chunk.min.js
platform	Help-Support-Center	sellercentral.amazon.in	/gp/help/help.html	?	READ		path	0	page route — server-rendered GET	d1bkay65ooam95.cloudfront.net_help_hub_12.f82baeb2833629d5b516.chunk.min.js
platform	Help-Support-Center	sellercentral.amazon.in	/gp/help/home	?	READ		path	0	page route — server-rendered GET	d1bkay65ooam95.cloudfront.net_help_hub_12.f82baeb2833629d5b516.chunk.min.js
