group	section	host	path	methods	classification	const	evidence
platform	Help-Support-Center	sellercentral.amazon.in	/communities/seller-news/articles	GET	READ		PROVEN live GET 200 (200)
platform	Help-Support-Center	sellercentral.amazon.in	/cu/case-lobby	?	READ		page route — server-rendered GET
platform	Help-Support-Center	sellercentral.amazon.in	/cu/contact-us	?	READ	url	page route — server-rendered GET
platform	Help-Support-Center	sellercentral.amazon.in	/forums/index.jspa	?	READ	url	page route — server-rendered GET
platform	Help-Support-Center	sellercentral.amazon.in	/forums/t/	?	READ		page route — server-rendered GET
platform	Help-Support-Center	sellercentral.amazon.in	/gp/help/	GET	READ		GET (documented from bundle)
platform	Help-Support-Center	sellercentral.amazon.in	/gp/help/customer/	?	READ	path	page route — server-rendered GET
platform	Help-Support-Center	sellercentral.amazon.in	/gp/help/embed/{guid}	?	READ	path	page route — server-rendered GET
platform	Help-Support-Center	sellercentral.amazon.in	/gp/help/embed/{param}	?	READ	source	page route — server-rendered GET
platform	Help-Support-Center	sellercentral.amazon.in	/gp/help/external	?	READ	path	page route — server-rendered GET
platform	Help-Support-Center	sellercentral.amazon.in	/gp/help/external/	GET	READ		GET (documented from bundle)
platform	Help-Support-Center	sellercentral.amazon.in	/gp/help/external/help-content.html	?	READ	path	page route — server-rendered GET
platform	Help-Support-Center	sellercentral.amazon.in	/gp/help/external/help-folder.html	?	READ	path	page route — server-rendered GET
platform	Help-Support-Center	sellercentral.amazon.in	/gp/help/external/help-home.html	?	READ	path	page route — server-rendered GET
platform	Help-Support-Center	sellercentral.amazon.in	/gp/help/external/help-page.html	?	READ	path	page route — server-rendered GET
platform	Help-Support-Center	sellercentral.amazon.in	/gp/help/external/help.html	?	READ	path	page route — server-rendered GET
platform	Help-Support-Center	sellercentral.amazon.in	/gp/help/external/home	?	READ	path	page route — server-rendered GET
platform	Help-Support-Center	sellercentral.amazon.in	/gp/help/external/home.html	?	READ	path	page route — server-rendered GET
platform	Help-Support-Center	sellercentral.amazon.in	/gp/help/external/login-help.html	?	READ	path	page route — server-rendered GET
platform	Help-Support-Center	sellercentral.amazon.in	/gp/help/external/{guid}/	?	READ	path	page route — server-rendered GET
platform	Help-Support-Center	sellercentral.amazon.in	/gp/help/help-content.html	?	READ	path	page route — server-rendered GET
platform	Help-Support-Center	sellercentral.amazon.in	/gp/help/help-folder.html	?	READ	path	page route — server-rendered GET
platform	Help-Support-Center	sellercentral.amazon.in	/gp/help/help-home.html	?	READ	path	page route — server-rendered GET
platform	Help-Support-Center	sellercentral.amazon.in	/gp/help/help-page.html	?	READ	path	page route — server-rendered GET
platform	Help-Support-Center	sellercentral.amazon.in	/gp/help/help-popup.html	?	READ	path	page route — server-rendered GET
platform	Help-Support-Center	sellercentral.amazon.in	/gp/help/help.html	?	READ	path	page route — server-rendered GET
platform	Help-Support-Center	sellercentral.amazon.in	/gp/help/home	?	READ	path	page route — server-rendered GET
