group	section	host	path	methods	classification	const	evidence
platform	Help-Support-Center	sellercentral.amazon.in	/help/hub	DELETE	WRITE	url	observed ['DELETE']
platform	Help-Support-Center	sellercentral.amazon.in	/help/modify-or-delete-a-product-listing	?	WRITE	path	write-verb constant/path token (G1: deny)
platform	Platform-Common	sellercentral.amazon.in	/draft/dashboard/savedbyyou	?	WRITE		write-verb constant/path token (G1: deny)
platform	Platform-Common	sellercentral.amazon.in	/edit/bulk	?	WRITE	editBulk	write-verb constant/path token (G1: deny)
platform	Platform-Common	sellercentral.amazon.in	/edit/bulk/sph	?	WRITE	editBulkSph	write-verb constant/path token (G1: deny)
platform	Platform-Common	sellercentral.amazon.in	/edit/handmade	?	WRITE	editHandmade	write-verb constant/path token (G1: deny)
platform	Platform-Common	sellercentral.amazon.in	/featureOverride	?	WRITE		write-verb constant/path token (G1: deny)
platform	Platform-Common	sellercentral.amazon.in	/goblin/write	?	WRITE		write-verb constant/path token (G1: deny)
seller	Account-Health-Performance	sellercentral.amazon.in	/sq/approvalrequest	?	WRITE		write-verb constant/path token (G1: deny)
seller	Coupons-Promotions	sellercentral.amazon.in	/coupons/api/cancelCouponPromotion	?	WRITE		write-verb constant/path token (G1: deny)
seller	Coupons-Promotions	sellercentral.amazon.in	/coupons/api/editCouponPromotion	?	WRITE		write-verb constant/path token (G1: deny)
seller	Coupons-Promotions	sellercentral.amazon.in	/coupons/api/reportPromotionApprovalDecision	?	WRITE		write-verb constant/path token (G1: deny)
seller	Coupons-Promotions	sellercentral.amazon.in	/coupons/api/v2/bulkUploadHistory	?	WRITE		write-verb constant/path token (G1: deny)
seller	Coupons-Promotions	sellercentral.amazon.in	/coupons/api/v2/uploadBulkFile	?	WRITE		upload — G2 absolute prohibition
seller	Global-Selling-Expansion	sellercentral.amazon.in	/marketplace/set-listing-preferences	?	WRITE		write-verb constant/path token (G1: deny)
seller	Listings-ASIN-Management	sellercentral.amazon.in	/abis/ajax/S3ImageUpload	?	WRITE		upload — G2 absolute prohibition
seller	Listings-ASIN-Management	sellercentral.amazon.in	/abis/ajax/clone-bsm-asin	?	WRITE		write-verb constant/path token (G1: deny)
seller	Listings-ASIN-Management	sellercentral.amazon.in	/abis/ajax/clone-from-asin	?	WRITE		write-verb constant/path token (G1: deny)
seller	Listings-ASIN-Management	sellercentral.amazon.in	/abis/ajax/clone-listing	?	WRITE		write-verb constant/path token (G1: deny)
seller	Listings-ASIN-Management	sellercentral.amazon.in	/abis/ajax/create-listing	?	WRITE		write-verb constant/path token (G1: deny)
seller	Listings-ASIN-Management	sellercentral.amazon.in	/abis/ajax/create-offer	?	WRITE		write-verb constant/path token (G1: deny)
seller	Listings-ASIN-Management	sellercentral.amazon.in	/abis/ajax/create-pt-selection	?	WRITE		write-verb constant/path token (G1: deny)
seller	Listings-ASIN-Management	sellercentral.amazon.in	/abis/ajax/create-variation-from-standalone	?	WRITE		write-verb constant/path token (G1: deny)
seller	Listings-ASIN-Management	sellercentral.amazon.in	/abis/ajax/edit	?	WRITE		write-verb constant/path token (G1: deny)
seller	Listings-ASIN-Management	sellercentral.amazon.in	/abis/ajax/edit-draft	?	WRITE		write-verb constant/path token (G1: deny)
seller	Listings-ASIN-Management	sellercentral.amazon.in	/abis/ajax/edit-draft/save	?	WRITE		write-verb constant/path token (G1: deny)
seller	Listings-ASIN-Management	sellercentral.amazon.in	/abis/ajax/write-offer	?	WRITE		write-verb constant/path token (G1: deny)
seller	Listings-ASIN-Management	sellercentral.amazon.in	/abis/ajax/write-offer-full-form	?	WRITE		write-verb constant/path token (G1: deny)
seller	Listings-ASIN-Management	sellercentral.amazon.in	/abis/ajax/write-variation-from-standalone	?	WRITE		write-verb constant/path token (G1: deny)
seller	Listings-ASIN-Management	sellercentral.amazon.in	/abis/listing/clone	?	WRITE		write-verb constant/path token (G1: deny)
seller	Listings-ASIN-Management	sellercentral.amazon.in	/abis/listing/clone-bsm-asin	?	WRITE		write-verb constant/path token (G1: deny)
seller	Listings-ASIN-Management	sellercentral.amazon.in	/abis/listing/clone-bsm-asin/	?	WRITE		write-verb constant/path token (G1: deny)
seller	Listings-ASIN-Management	sellercentral.amazon.in	/abis/listing/clone-from-asin	?	WRITE		write-verb constant/path token (G1: deny)
seller	Listings-ASIN-Management	sellercentral.amazon.in	/abis/listing/clone-from-asin/	?	WRITE		write-verb constant/path token (G1: deny)
seller	Listings-ASIN-Management	sellercentral.amazon.in	/abis/listing/clone/	?	WRITE		write-verb constant/path token (G1: deny)
