surface	method	host	path	class	const	evidence_file
seller	UNKNOWN	seller.flipkart.com	/api/partnerPermissions/checkPartnerAccess	UNKNOWN	checkPartnerAccess	remote-manageProfile-617.e9731b9e51151edcea56.js
seller	UNKNOWN	seller.flipkart.com	/api/partnerPermissions/deletePartnerAccess	WRITE	deletePartnerAccess	remote-manageProfile-617.e9731b9e51151edcea56.js
seller	UNKNOWN	seller.flipkart.com	/api/partnerPermissions/invokePartnerAccess	UNKNOWN	invokePartnerAccess	remote-manageProfile-617.e9731b9e51151edcea56.js
seller	POST	seller.flipkart.com	/api/send-otp	UNKNOWN		90.4722bfd3fec2521faf2e.js
seller	POST	seller.flipkart.com	/api/validate-otp	UNKNOWN		90.4722bfd3fec2521faf2e.js
seller	UNKNOWN	seller.flipkart.com	/fed-ads/navbar/seller	UNKNOWN		90.4722bfd3fec2521faf2e.js
seller	UNKNOWN	seller.flipkart.com	/fed-ads/sellerpoc	UNKNOWN		90.4722bfd3fec2521faf2e.js
seller	UNKNOWN	seller.flipkart.com	/fed-ads/violet-lms/authenticate	UNKNOWN		731.f6104eadedda7632a7ac.js
seller	UNKNOWN	seller.flipkart.com	/napi/	UNKNOWN		171.83ac6fa44938bd3d361c.js
seller	UNKNOWN	seller.flipkart.com	/napi/alphaListing/getApprovalRequests	UNKNOWN_READLIKE	fetchApi	alpha-seller.b0644d02331f2e51fa3f.js
seller	UNKNOWN	seller.flipkart.com	/napi/alphaListing/updateApprovalRequestStatus	WRITE	updateApi	alpha-seller.b0644d02331f2e51fa3f.js
seller	GET	seller.flipkart.com	/napi/approval-store/latest-status	READ		5700.460cdf57b00102e6f476.js
seller	GET	seller.flipkart.com	/napi/approval-store/questions	READ		5700.460cdf57b00102e6f476.js
seller	UNKNOWN	seller.flipkart.com	/napi/approval-store/requestsV2	UNKNOWN		5700.460cdf57b00102e6f476.js
seller	UNKNOWN	seller.flipkart.com	/napi/approval-store/requestsV2-count	UNKNOWN_READLIKE		5700.460cdf57b00102e6f476.js
seller	GET	seller.flipkart.com	/napi/audit/auditDetails	READ		5700.460cdf57b00102e6f476.js
seller	GET	seller.flipkart.com	/napi/audit/auditMetaData	READ		5700.460cdf57b00102e6f476.js
seller	GET	seller.flipkart.com	/napi/audit/auditPQDetails	READ		5700.460cdf57b00102e6f476.js
seller	GET	seller.flipkart.com	/napi/audit/auditPQResults	READ		5700.460cdf57b00102e6f476.js
seller	UNKNOWN	seller.flipkart.com	/napi/audit/audits	UNKNOWN		5700.460cdf57b00102e6f476.js
seller	GET	seller.flipkart.com	/napi/audit/categoriesFilter	READ		5700.460cdf57b00102e6f476.js
seller	UNKNOWN	seller.flipkart.com	/napi/audit/updateAudit	WRITE		5700.460cdf57b00102e6f476.js
seller	UNKNOWN	seller.flipkart.com	/napi/cancelled_orders/fetchV2	WRITE	fetchApi	33.b2ae781739dbf1ef817b.js
seller	UNKNOWN	seller.flipkart.com	/napi/case-manager/general-tickets	UNKNOWN		731.f6104eadedda7632a7ac.js
seller	UNKNOWN	seller.flipkart.com	/napi/case-manager/getCreateTicketForm	WRITE		731.f6104eadedda7632a7ac.js
seller	UNKNOWN	seller.flipkart.com	/napi/case-manager/getSellerDetails	UNKNOWN_READLIKE	fetchApi	966.fec518d64c26baa001d8.js
seller	UNKNOWN	seller.flipkart.com	/napi/case-manager/issue-schema	UNKNOWN	fetchApi	966.fec518d64c26baa001d8.js
seller	UNKNOWN	seller.flipkart.com	/napi/case-manager/issue-seller-close	UNKNOWN		731.f6104eadedda7632a7ac.js
seller	UNKNOWN	seller.flipkart.com	/napi/case-manager/issue-thread	UNKNOWN	fetchApi	966.fec518d64c26baa001d8.js
seller	UNKNOWN	seller.flipkart.com	/napi/case-manager/issues-search	UNKNOWN_READLIKE	fetchApi	966.fec518d64c26baa001d8.js
seller	UNKNOWN	seller.flipkart.com	/napi/case-manager/spf-claims	WRITE	fetchApi	966.fec518d64c26baa001d8.js
seller	UNKNOWN	seller.flipkart.com	/napi/case-manager/sub-issue-types	UNKNOWN		966.fec518d64c26baa001d8.js
seller	UNKNOWN	seller.flipkart.com	/napi/case-manager/submitIssue	WRITE	customURL	966.fec518d64c26baa001d8.js
seller	UNKNOWN	seller.flipkart.com	/napi/case-manager/submitReply	WRITE	updateApi	966.fec518d64c26baa001d8.js
