group	method	url
seller	POST	https://ad.doubleclick.net/ccm/s/collect?auid=282487411.1784559130&gtm=45be67s1v870975203za200zd870975203xec
seller	POST	https://www.google.com/rmkt/collect/411092715/?random=1785366958393&cv=11&fst=1785366958393&fmt=8&bg=ffffff&guid=ON&async=1&en=gtag.config&gtm=45be67s1v870975203za200zd870975203xec&gcd=13l3l3l3l1l1&dma=0&tag_exp=115616986~115938465~115938468~118012007~118897920~118897930~119259606~119896802&u_w=1600&u_h=1200&url=https%3A%2F%2Fseller.flipkart.com%2Findex.html&rcb=17&frm=0&tiba=Seller%20Dashboard&hn=www.googleadservices.com&npa=0&pscdl=noapi&auid=282487411.1784559130&uaa=x86&uab=64&uafvl=Not%253BA%253DBrand%3B8.0.0.0%7CChromium%3B150.0.7871.187%7CGoogle%2520Chrome%3B150.0.7871.187&uamb=0&uam=&uap=Windows&uapv=10.0.0&uaw=0&data=event%3Dgtag.config&ept=68&gcp=5
seller	POST	https://www.google.com/ccm/collect?rcb=17&frm=0&auid=282487411.1784559130&dt=Seller%20Dashboard&en=page_view&dl=https%3A%2F%2Fseller.flipkart.com%2Findex.html&scrsrc=www.googletagmanager.com&rnd=1905553775.1785366958&navt=n&npa=0&gtm=45be67s1v870975203za200zd870975203xec&gcd=13l3l3l3l1l1&dma=0&tag_exp=115616986~115938465~115938468~118012007~118897920~118897930~119259606~119896802&apvc=1&tids=AW-411092715&tid=AW-411092715&tft=1785366958423&tfd=1070&fmt=8
seller	POST	https://firebaseinstallations.googleapis.com/v1/projects/compact-cell-87207/installations
seller	POST	https://www.google-analytics.com/j/collect?v=1&_v=j102&a=2136124639&t=pageview&_s=1&dl=https%3A%2F%2Fseller.flipkart.com%2Findex.html&ul=en-us&dt=Seller%20Dashboard&sr=1600x1200&vp=1600x1200&_u=QACAAEABAAAAACAAI~&jid=1421913880&gjid=1724221199&cid=1026018168.1784559130&tid=UA-172010654-1&_gid=1777110048.1785307173&_r=1&_slc=1&gtm=45He67s1n81WPDKS66v831005232za200zd831005232&gcd=13l3l3l3l1l1&dma=0&tag_exp=115938465~115938469~118897920~118897930~119259606~119527020~119896803~120084215&z=493897192
seller	POST	https://stats.g.doubleclick.net/g/collect?v=2&ngs=1&ibt=1&tid=G-0SJLGHBL81&cid=1026018168.1784559130&gtm=45je67s1v872129238z8831005232za20gzb831005232zd831005232&rcb=3&aip=1&dma=0&gcd=13l3l3l3l1l1&npa=0&frm=0&tag_exp=115616986~115938465~115938468~118395335~118897920~118897930~119259606~119527020~119896802
seller	POST	https://analytics.google.com/g/collect?v=2&tid=G-0SJLGHBL81&gtm=45je67s1v872129238z8831005232za20gzb831005232zd831005232&_p=1785366957917&_gaz=1&gcd=13l3l3l3l1l1&npa=0&dma=0&_eu=AAAAACQC&are=1&cid=1026018168.1784559130&frm=0&ibt=1&ngs=1&pscdl=noapi&rcb=3&sr=1600x1200&uaa=x86&uab=64&uafvl=Not%253BA%253DBrand%3B8.0.0.0%7CChromium%3B150.0.7871.187%7CGoogle%2520Chrome%3B150.0.7871.187&uam=&uamb=0&uap=Windows&uapv=10.0.0&uaw=0&ul=en-us&_s=1&tag_exp=115616986~115938465~115938468~118395335~118897920~118897930~119259606~119527020~119896802&sid=1785366960&sct=7&seg=0&dl=https%3A%2F%2Fseller.flipkart.com%2Findex.html&dt=Seller%20Dashboard&en=page_view&_ss=1&tfd=3168
seller	POST	https://www.google-analytics.com/g/collect?v=2&tid=G-9Q66HQL6XW&gtm=45je67s1h1v9255900211za200zb870975203zd870975203&_p=1785366957917&gcd=13l3l3l3l1l1&npa=0&dma=0&_eu=AAAAAAQ&_fid=fsWpFWilm1GHn24jTTINPt&are=1&cid=1026018168.1784559130&frm=0&ngs=1&pscdl=noapi&rcb=4&sr=1600x1200&uaa=x86&uab=64&uafvl=Not%253BA%253DBrand%3B8.0.0.0%7CChromium%3B150.0.7871.187%7CGoogle%2520Chrome%3B150.0.7871.187&uam=&uamb=0&uap=Windows&uapv=10.0.0&uaw=0&ul=en-us&_s=1&tag_exp=115938465~115938468~118897920~118897930~119259606~119527020~119896803&sid=1785366961&sct=7&seg=0&dl=https%3A%2F%2Fseller.flipkart.com%2Findex.html&dt=Seller%20Dashboard&en=page_view&_ss=1&_ee=1&ep.origin=firebase&tfd=3667
seller	POST	https://firebaseremoteconfig.googleapis.com/v1/projects/compact-cell-87207/namespaces/fireperf:fetch?key=AIzaSyDkTBBRWaDDrrUO8Kr9_jxEck0yPBKNnwk
seller	POST	https://firebaselogging-pa.googleapis.com/v1/firelog/legacy/log?key=AIzaSyCx80ru6-RXeTi3GvqkFsMVyMf-vpgIoVw
seller	POST	https://seller.flipkart.com/snoopyIngestion
vendorhub	POST	https://csp.flipkart.com/csp
vendorhub	POST	https://api-js.mixpanel.com/engage/?ip=1&_=1785366096760
vendorhub	POST	https://api-js.mixpanel.com/track/?ip=1&_=1785366096763
vendorhub	POST	https://vendorhub.flipkart.com/snoopyIngestion/trackEvent
