surface	method	host	path	class	const	file
seller	UNKNOWN	seller.flipkart.com	/api/partnerPermissions/checkPartnerAccess	UNKNOWN	checkPartnerAccess	remote-manageProfile-617.e9731b9e51151edcea56.js
seller	UNKNOWN	seller.flipkart.com	/api/partnerPermissions/invokePartnerAccess	UNKNOWN	invokePartnerAccess	remote-manageProfile-617.e9731b9e51151edcea56.js
seller	POST	seller.flipkart.com	/api/send-otp	UNKNOWN		90.4722bfd3fec2521faf2e.js
seller	POST	seller.flipkart.com	/api/validate-otp	UNKNOWN		90.4722bfd3fec2521faf2e.js
seller	UNKNOWN	seller.flipkart.com	/fed-ads/navbar/seller	UNKNOWN		90.4722bfd3fec2521faf2e.js
seller	UNKNOWN	seller.flipkart.com	/fed-ads/sellerpoc	UNKNOWN		90.4722bfd3fec2521faf2e.js
seller	UNKNOWN	seller.flipkart.com	/fed-ads/violet-lms/authenticate	UNKNOWN		731.f6104eadedda7632a7ac.js
seller	UNKNOWN	seller.flipkart.com	/napi/	UNKNOWN		171.83ac6fa44938bd3d361c.js
seller	UNKNOWN	seller.flipkart.com	/napi/alphaListing/getApprovalRequests	UNKNOWN_READLIKE	fetchApi	alpha-seller.b0644d02331f2e51fa3f.js
seller	UNKNOWN	seller.flipkart.com	/napi/approval-store/requestsV2	UNKNOWN		5700.460cdf57b00102e6f476.js
seller	UNKNOWN	seller.flipkart.com	/napi/approval-store/requestsV2-count	UNKNOWN_READLIKE		5700.460cdf57b00102e6f476.js
seller	UNKNOWN	seller.flipkart.com	/napi/audit/audits	UNKNOWN		5700.460cdf57b00102e6f476.js
seller	UNKNOWN	seller.flipkart.com	/napi/case-manager/general-tickets	UNKNOWN		731.f6104eadedda7632a7ac.js
seller	UNKNOWN	seller.flipkart.com	/napi/case-manager/getSellerDetails	UNKNOWN_READLIKE	fetchApi	966.fec518d64c26baa001d8.js
seller	UNKNOWN	seller.flipkart.com	/napi/case-manager/issue-schema	UNKNOWN	fetchApi	966.fec518d64c26baa001d8.js
seller	UNKNOWN	seller.flipkart.com	/napi/case-manager/issue-seller-close	UNKNOWN		731.f6104eadedda7632a7ac.js
seller	UNKNOWN	seller.flipkart.com	/napi/case-manager/issue-thread	UNKNOWN	fetchApi	966.fec518d64c26baa001d8.js
seller	UNKNOWN	seller.flipkart.com	/napi/case-manager/issues-search	UNKNOWN_READLIKE	fetchApi	966.fec518d64c26baa001d8.js
seller	UNKNOWN	seller.flipkart.com	/napi/case-manager/sub-issue-types	UNKNOWN		966.fec518d64c26baa001d8.js
seller	UNKNOWN	seller.flipkart.com	/napi/consignment/	UNKNOWN		9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/consignment/dispatchConsignment	UNKNOWN		9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/consignment/getAllSkuListings	UNKNOWN_READLIKE		9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/consignment/getConsignmentSummaryV2	UNKNOWN_READLIKE		9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/consignment/getPickUpSlots	UNKNOWN_READLIKE		9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/consignment/getRecoListings	UNKNOWN_READLIKE		9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/consignment/getSlots	UNKNOWN_READLIKE		9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/consignment/getZonalRecommendedListings	UNKNOWN_READLIKE		9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/consignment/markRTD	UNKNOWN		9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/contextualFaq/getFaqs	UNKNOWN_READLIKE	fetchApi	90.4722bfd3fec2521faf2e.js
seller	UNKNOWN	seller.flipkart.com	/napi/darwin/finalTier	UNKNOWN	fetchDarwinApi	90.4722bfd3fec2521faf2e.js
seller	UNKNOWN	seller.flipkart.com	/napi/fbf/mdf/seller-requirements/filters	UNKNOWN_READLIKE		9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/fbf/mdf/seller-requirements/search	UNKNOWN_READLIKE	r_e	9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/fbf/recall/filter	UNKNOWN_READLIKE		9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/fbf/recall/getStateCount	UNKNOWN_READLIKE		9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/fbf/warehouseDetails	UNKNOWN_READLIKE		remote-345.87db87b7d58f48047a28.js
seller	UNKNOWN	seller.flipkart.com	/napi/fbfLite/audit/answers	UNKNOWN	submitAnswers	880.857b7aea12d938747f68.js
seller	UNKNOWN	seller.flipkart.com	/napi/fbfLite/audit/latest	UNKNOWN	fetchApi	880.857b7aea12d938747f68.js
seller	UNKNOWN	seller.flipkart.com	/napi/fbfLite/audit/questions	UNKNOWN	getQeastions	880.857b7aea12d938747f68.js
seller	UNKNOWN	seller.flipkart.com	/napi/fbfLite/closePicklist	UNKNOWN_READLIKE	updateApi	880.857b7aea12d938747f68.js
seller	UNKNOWN	seller.flipkart.com	/napi/fbfLite/fetchCloseablePicklist	UNKNOWN_READLIKE	fetchApi	880.857b7aea12d938747f68.js
seller	UNKNOWN	seller.flipkart.com	/napi/fbfLite/forceClosePicklist	UNKNOWN_READLIKE	updateApi	880.857b7aea12d938747f68.js
seller	UNKNOWN	seller.flipkart.com	/napi/fbfLite/get/pending/pick_list	UNKNOWN_READLIKE	fetchApi	880.857b7aea12d938747f68.js
seller	UNKNOWN	seller.flipkart.com	/napi/fbfLite/get/pick_list	UNKNOWN_READLIKE	fetchApi	880.857b7aea12d938747f68.js
