surface	method	host	path	class	const	file
seller	GET	seller.flipkart.com	/napi/approval-store/latest-status	READ		5700.460cdf57b00102e6f476.js
seller	GET	seller.flipkart.com	/napi/approval-store/questions	READ		5700.460cdf57b00102e6f476.js
seller	GET	seller.flipkart.com	/napi/audit/auditDetails	READ		5700.460cdf57b00102e6f476.js
seller	GET	seller.flipkart.com	/napi/audit/auditMetaData	READ		5700.460cdf57b00102e6f476.js
seller	GET	seller.flipkart.com	/napi/audit/auditPQDetails	READ		5700.460cdf57b00102e6f476.js
seller	GET	seller.flipkart.com	/napi/audit/auditPQResults	READ		5700.460cdf57b00102e6f476.js
seller	GET	seller.flipkart.com	/napi/audit/categoriesFilter	READ		5700.460cdf57b00102e6f476.js
seller	GET	seller.flipkart.com	/napi/consignment/bulkConsignmentStatus	READ		9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/consignment/downloadActiveListings	READ_FILE		9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/consignment/downloadBulkErrorFile	READ_FILE		9258.26178f4d4422b76c6a94.js
seller	GET	seller.flipkart.com	/napi/consignment/downloadConsignmentDetails	READ_FILE		9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/consignment/downloadConsignmentLabel	READ_FILE		9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/consignment/downloadConsignmentListings	READ_FILE		9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/consignment/downloadConsignmentVisibilityDetails	READ_FILE		9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/consignment/downloadEWayBill	READ_FILE		9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/consignment/downloadInvoiceCSV	READ_FILE		9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/consignment/downloadInvoices	READ_FILE		9258.26178f4d4422b76c6a94.js
seller	GET	seller.flipkart.com	/napi/consignment/downloadPOP	READ_FILE		9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/consignment/downloadQCFile	READ_FILE		9258.26178f4d4422b76c6a94.js
