surface	method	host	path	class	const	file
seller	UNKNOWN	seller.flipkart.com	/api/partnerPermissions/deletePartnerAccess	WRITE	deletePartnerAccess	remote-manageProfile-617.e9731b9e51151edcea56.js
seller	UNKNOWN	seller.flipkart.com	/napi/alphaListing/updateApprovalRequestStatus	WRITE	updateApi	alpha-seller.b0644d02331f2e51fa3f.js
seller	UNKNOWN	seller.flipkart.com	/napi/audit/updateAudit	WRITE		5700.460cdf57b00102e6f476.js
seller	UNKNOWN	seller.flipkart.com	/napi/cancelled_orders/fetchV2	WRITE	fetchApi	33.b2ae781739dbf1ef817b.js
seller	UNKNOWN	seller.flipkart.com	/napi/case-manager/getCreateTicketForm	WRITE		731.f6104eadedda7632a7ac.js
seller	UNKNOWN	seller.flipkart.com	/napi/case-manager/spf-claims	WRITE	fetchApi	966.fec518d64c26baa001d8.js
seller	UNKNOWN	seller.flipkart.com	/napi/case-manager/submitIssue	WRITE	customURL	966.fec518d64c26baa001d8.js
seller	UNKNOWN	seller.flipkart.com	/napi/case-manager/submitReply	WRITE	updateApi	966.fec518d64c26baa001d8.js
seller	UNKNOWN	seller.flipkart.com	/napi/consignment/address/add	WRITE		9258.26178f4d4422b76c6a94.js
seller	GET	seller.flipkart.com	/napi/consignment/cancel	WRITE		9258.26178f4d4422b76c6a94.js
seller	GET	seller.flipkart.com	/napi/consignment/cancelPickUp	WRITE		9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/consignment/create/empty	WRITE		9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/consignment/createConsignmentFromSplits	WRITE		9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/consignment/delete	WRITE		9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/consignment/deleteConsignmentItem	WRITE		9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/consignment/generateSplitForIntent	WRITE		9258.26178f4d4422b76c6a94.js
seller	PUT	seller.flipkart.com	/napi/consignment/markAsDefaultAddress	WRITE		remote-manageProfile-617.e9731b9e51151edcea56.js
seller	UNKNOWN	seller.flipkart.com	/napi/consignment/scheduleConsignment	WRITE		9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/consignment/update	WRITE		9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/consignment/updateConsignmentAddresses	WRITE		9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/consignment/updateConsignmentBoxInfo	WRITE		9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/consignment/updateQCTickets	WRITE		9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/consignment/updateRTDBoxDetails	WRITE		9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/consignment/uploadBulkConsignment	WRITE		9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/consignment/uploadEInvoice	WRITE		9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/consignment/uploadEWayBill	WRITE		9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/createProductV2/checkAutofillVerticals	WRITE		5700.460cdf57b00102e6f476.js
seller	UNKNOWN	seller.flipkart.com	/napi/createProductV2/create	WRITE		5700.460cdf57b00102e6f476.js
seller	UNKNOWN	seller.flipkart.com	/napi/createProductV2/create-variants	WRITE		5700.460cdf57b00102e6f476.js
seller	UNKNOWN	seller.flipkart.com	/napi/createProductV2/delete-variants-data	WRITE		5700.460cdf57b00102e6f476.js
seller	UNKNOWN	seller.flipkart.com	/napi/createProductV2/draft	WRITE		5700.460cdf57b00102e6f476.js
seller	UNKNOWN	seller.flipkart.com	/napi/createProductV2/fetch-autofill-external-images-status	WRITE		5700.460cdf57b00102e6f476.js
seller	UNKNOWN	seller.flipkart.com	/napi/createProductV2/fetch-autoqc-guidelines	WRITE		5700.460cdf57b00102e6f476.js
seller	UNKNOWN	seller.flipkart.com	/napi/createProductV2/fetch-conditional-mandatory-attributes	WRITE		5700.460cdf57b00102e6f476.js
seller	UNKNOWN	seller.flipkart.com	/napi/createProductV2/fetch-product-title-preview	WRITE		5700.460cdf57b00102e6f476.js
seller	UNKNOWN	seller.flipkart.com	/napi/createProductV2/fetch-variants-data	WRITE		5700.460cdf57b00102e6f476.js
seller	UNKNOWN	seller.flipkart.com	/napi/createProductV2/fetchAutofillAttributes	WRITE		5700.460cdf57b00102e6f476.js
seller	UNKNOWN	seller.flipkart.com	/napi/createProductV2/get-fsn-attributes	WRITE		5700.460cdf57b00102e6f476.js
seller	GET	seller.flipkart.com	/napi/createProductV2/get-model-vertical-guidelines	WRITE		5700.460cdf57b00102e6f476.js
seller	UNKNOWN	seller.flipkart.com	/napi/createProductV2/getPartialDraft	WRITE		5700.460cdf57b00102e6f476.js
seller	UNKNOWN	seller.flipkart.com	/napi/createProductV2/predict-vertical	WRITE		5700.460cdf57b00102e6f476.js
seller	UNKNOWN	seller.flipkart.com	/napi/createProductV2/save-recommended-vertical	WRITE		5700.460cdf57b00102e6f476.js
seller	UNKNOWN	seller.flipkart.com	/napi/createProductV2/save-variants-data	WRITE		5700.460cdf57b00102e6f476.js
seller	UNKNOWN	seller.flipkart.com	/napi/createProductV2/submit	WRITE		5700.460cdf57b00102e6f476.js
seller	UNKNOWN	seller.flipkart.com	/napi/createProductV2/updatePartial	WRITE		5700.460cdf57b00102e6f476.js
seller	UNKNOWN	seller.flipkart.com	/napi/createProductV2/v1/create-variant	WRITE		5700.460cdf57b00102e6f476.js
seller	UNKNOWN	seller.flipkart.com	/napi/createProductV2/v1/delete-variants	WRITE		5700.460cdf57b00102e6f476.js
seller	UNKNOWN	seller.flipkart.com	/napi/createProductV2/v1/fetch-variant-definition	WRITE		5700.460cdf57b00102e6f476.js
seller	GET	seller.flipkart.com	/napi/createProductV2/verticalDefinition	WRITE		5700.460cdf57b00102e6f476.js
seller	UNKNOWN	seller.flipkart.com	/napi/createProductV2/verticalDefinitionV2	WRITE		5700.460cdf57b00102e6f476.js
seller	UNKNOWN	seller.flipkart.com	/napi/document/upload	WRITE	baseUrl	5700.460cdf57b00102e6f476.js
seller	UNKNOWN	seller.flipkart.com	/napi/edit-product/create-draft	WRITE		5700.460cdf57b00102e6f476.js
seller	UNKNOWN	seller.flipkart.com	/napi/edit-product/delete-request	WRITE	deleteApi	5700.460cdf57b00102e6f476.js
seller	UNKNOWN	seller.flipkart.com	/napi/edit-product/fetchQCInProgressStatus	WRITE		5700.460cdf57b00102e6f476.js
seller	UNKNOWN	seller.flipkart.com	/napi/edit-product/get-drafts	WRITE		5700.460cdf57b00102e6f476.js
seller	UNKNOWN	seller.flipkart.com	/napi/edit-product/get-summary	WRITE		5700.460cdf57b00102e6f476.js
seller	UNKNOWN	seller.flipkart.com	/napi/edit-product/is-fsn-owner	WRITE		5700.460cdf57b00102e6f476.js
seller	UNKNOWN	seller.flipkart.com	/napi/edit-product/is-fsn-owner-bulk	WRITE		remote-802.2d4188eb748944aba10c.js
seller	UNKNOWN	seller.flipkart.com	/napi/edit-product/save-draft	WRITE		5700.460cdf57b00102e6f476.js
seller	UNKNOWN	seller.flipkart.com	/napi/edit-product/search	WRITE		4334.d6eb70a751dec8ae847d.js
seller	UNKNOWN	seller.flipkart.com	/napi/edit-product/submit-draft	WRITE		5700.460cdf57b00102e6f476.js
seller	UNKNOWN	seller.flipkart.com	/napi/fbf/mdf/seller-requirements/bulk-approve	WRITE		9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/fbf/mdf/seller-requirements/bulk-reject	WRITE		9258.26178f4d4422b76c6a94.js
seller	GET	seller.flipkart.com	/napi/fbf/recall/delete	WRITE	updateApi	9258.26178f4d4422b76c6a94.js
seller	PUT	seller.flipkart.com	/napi/fbf/recall/submitRecallDocs	WRITE		9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/fbf/recall/updateInvoiceCostDetails	WRITE		9258.26178f4d4422b76c6a94.js
seller	PUT	seller.flipkart.com	/napi/fbf/recall/updateMetaAddress	WRITE		9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/fbf/recall/uploadAutoEInvoice	WRITE		9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/fbf/recall/uploadEInvoice	WRITE		9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/fbf/recall/uploadEInvoiceDoc	WRITE		9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/fbf/recall/uploadInvoiceCostDetails	WRITE		9258.26178f4d4422b76c6a94.js
seller	GET	seller.flipkart.com	/napi/fbf/recall/uploadSKUErrorFile	WRITE		9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/fbfLite/create/pick_list	WRITE	fetchApi	880.857b7aea12d938747f68.js
seller	UNKNOWN	seller.flipkart.com	/napi/fbfLite/deleteGroupListing	WRITE	updateApi	880.857b7aea12d938747f68.js
seller	UNKNOWN	seller.flipkart.com	/napi/fbfLite/downloadGroupListingEditFile	WRITE		880.857b7aea12d938747f68.js
seller	GET	seller.flipkart.com	/napi/fbfLite/shipments/is_confirm	WRITE	fetchApi	880.857b7aea12d938747f68.js
seller	UNKNOWN	seller.flipkart.com	/napi/fbfLite/uploadRecallFile	WRITE		880.857b7aea12d938747f68.js
seller	UNKNOWN	seller.flipkart.com	/napi/fbfOnboarding/fbfgstinDocumentUpload	WRITE		9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/fbfOnboarding/generateRentalAgreement	WRITE		9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/fbfOnboarding/saveAsDraft	WRITE		9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/fbfOnboarding/saveTermsSelection	WRITE		9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/fbfOnboarding/uploadDocument	WRITE		9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/fbfOnboarding/uploadVeritas	WRITE		9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/fbflite/generatePicklist	WRITE		880.857b7aea12d938747f68.js
seller	UNKNOWN	seller.flipkart.com	/napi/fkgrowthcapital/acceptApplication	WRITE		304.fa6a0b601c260dd26c66.js
seller	UNKNOWN	seller.flipkart.com	/napi/fkgrowthcapital/create-lead	WRITE		304.fa6a0b601c260dd26c66.js
seller	UNKNOWN	seller.flipkart.com	/napi/fkgrowthcapital/declineApplication	WRITE		304.fa6a0b601c260dd26c66.js
seller	UNKNOWN	seller.flipkart.com	/napi/fkpromo/delete-managed-listings	WRITE	deleteManagedFileApi	3404.a883c28f13dbef576c47.js
seller	UNKNOWN	seller.flipkart.com	/napi/fkpromo/fk-promotion-update-listings	WRITE	updateManagedFileApi	3404.a883c28f13dbef576c47.js
seller	UNKNOWN	seller.flipkart.com	/napi/fkpromo/fk-promotion-upload-post-opt-in	WRITE	uploadManagedFilePostOptInApi	3404.a883c28f13dbef576c47.js
seller	UNKNOWN	seller.flipkart.com	/napi/fkpromo/upload-selsub-listings	WRITE	uploadManagedFileApi	3404.a883c28f13dbef576c47.js
seller	UNKNOWN	seller.flipkart.com	/napi/fulfilment-rest/self-ship/reUploadRtoFile	WRITE		33.b2ae781739dbf1ef817b.js
seller	UNKNOWN	seller.flipkart.com	/napi/ga-content-manager/update-usage	WRITE	updateApi	966.fec518d64c26baa001d8.js
seller	UNKNOWN	seller.flipkart.com	/napi/ga/createBookmark	WRITE		731.f6104eadedda7632a7ac.js
seller	UNKNOWN	seller.flipkart.com	/napi/ga/createIncident_v2	WRITE		731.f6104eadedda7632a7ac.js
seller	UNKNOWN	seller.flipkart.com	/napi/ga/createInstanceHelpSection	WRITE		731.f6104eadedda7632a7ac.js
seller	UNKNOWN	seller.flipkart.com	/napi/ga/createInstance_v2	WRITE		731.f6104eadedda7632a7ac.js
seller	UNKNOWN	seller.flipkart.com	/napi/ga/deleteBookmark	WRITE		731.f6104eadedda7632a7ac.js
seller	UNKNOWN	seller.flipkart.com	/napi/ga/deleteInstance	WRITE		731.f6104eadedda7632a7ac.js
seller	UNKNOWN	seller.flipkart.com	/napi/ga/getBookmarks	WRITE		731.f6104eadedda7632a7ac.js
seller	UNKNOWN	seller.flipkart.com	/napi/ga/getBulkUploadStatus	WRITE		731.f6104eadedda7632a7ac.js
seller	UNKNOWN	seller.flipkart.com	/napi/ga/submitSurvey	WRITE	updateApi	966.fec518d64c26baa001d8.js
seller	UNKNOWN	seller.flipkart.com	/napi/ga/uploadAttachment	WRITE		731.f6104eadedda7632a7ac.js
seller	UNKNOWN	seller.flipkart.com	/napi/getHomePageUpdates	WRITE	fetchApi	remote-coe-271.b947b95ea27b267f0117.js
seller	GET	seller.flipkart.com	/napi/image-enricher/createDraft	WRITE		5700.460cdf57b00102e6f476.js
seller	GET	seller.flipkart.com	/napi/image-enricher/createPayment	WRITE		5700.460cdf57b00102e6f476.js
seller	GET	seller.flipkart.com	/napi/image-enricher/saveDraft	WRITE		5700.460cdf57b00102e6f476.js
seller	GET	seller.flipkart.com	/napi/image-enricher/submitDraft	WRITE		5700.460cdf57b00102e6f476.js
seller	UNKNOWN	seller.flipkart.com	/napi/inventory-rest/recall/BulkRecallFileUpload	WRITE		9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/lbhw/updateV2	WRITE	updateApi	33.b2ae781739dbf1ef817b.js
