StorageType,FacilityName,City,SkuCode,SkuDescription,L1,L2,ShelfLifeDays,BusinessCategory,DaysOnHand,PotentialGmvLoss,OpenPos,OpenPoQuantity,WarehouseQtyAvailable
Ambient,CHE AMB IM2,CHENNAI,141307,Jivo Healthy Wheatgrass Juice (Mojito) - Sugar Free 200.0 ml,Cold Drinks and Juices,Juices and Fruit Drinks,365,Packaged Food,20,17.5,[],0,1
Ambient,BLR IM4,BANGALORE,141307,Jivo Healthy Wheatgrass Juice (Mojito) - Sugar Free 200.0 ml,Cold Drinks and Juices,Juices and Fruit Drinks,365,Packaged Food,200,7,[],0,4
Ambient,BLR IM1,BANGALORE,141307,Jivo Healthy Wheatgrass Juice (Mojito) - Sugar Free 200.0 ml,Cold Drinks and Juices,Juices and Fruit Drinks,365,Packaged Food,20,17.5,[],0,1
Ambient,BLR ECOM2,BANGALORE,141307,Jivo Healthy Wheatgrass Juice (Mojito) - Sugar Free 200.0 ml,Cold Drinks and Juices,Juices and Fruit Drinks,365,Packaged Food,0,24.5,[],0,0
Ambient,AHM DELHIVERY,AHMEDABAD,149270,JIVO NATURAL MINERALS WATER 1.0 ltr,Cold Drinks and Juices,Water and Ice Cubes,365,Packaged Food,0,1226.4,"[CADPO216091"",""CADPO215919]",144,1
Ambient,MUM IM3,MUMBAI,149270,JIVO NATURAL MINERALS WATER 1.0 ltr,Cold Drinks and Juices,Water and Ice Cubes,365,Packaged Food,15,39.9,[CI3PO79698],36,3
Ambient,MUM IM1,MUMBAI,149270,JIVO NATURAL MINERALS WATER 1.0 ltr,Cold Drinks and Juices,Water and Ice Cubes,365,Packaged Food,1233,6.3,[],0,37
Ambient,MUM FC22,MUMBAI,149270,JIVO NATURAL MINERALS WATER 1.0 ltr,Cold Drinks and Juices,Water and Ice Cubes,365,Packaged Food,6,491.4,[CMFPO343308],12,15
Ambient,PUN DELHIVERY,PUNE,149270,JIVO NATURAL MINERALS WATER 1.0 ltr,Cold Drinks and Juices,Water and Ice Cubes,365,Packaged Food,8,812.7,"[CPDPO292176"",""CPDPO291607"",""CPDPO291100"",""CPDPO293635]",96,32
Ambient,AMD IM3,AHMEDABAD,149270,JIVO NATURAL MINERALS WATER 1.0 ltr,Cold Drinks and Juices,Water and Ice Cubes,365,Packaged Food,365,0,[],0,0
Ambient,GOA IM1,CENTRAL GOA,149270,JIVO NATURAL MINERALS WATER 1.0 ltr,Cold Drinks and Juices,Water and Ice Cubes,365,Packaged Food,0,907.2,"[GCAPO68785"",""GCAPO68334]",84,0
Ambient,KOL IM2,KOLKATA,149270,JIVO NATURAL MINERALS WATER 1.0 ltr,Cold Drinks and Juices,Water and Ice Cubes,365,Packaged Food,365,0,"[KWBPO105186"",""KWBPO104955"",""KWBPO103976"",""KWBPO103189"",""KWBPO104389"",""KWBPO103040"",""KWBPO100588]",156,0
Ambient,AHM DELHIVERY,AHMEDABAD,15685,Jivo Canola Cold Press Edible Oil 1.0 ltr,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,17,7927.5,"[CADPO216929"",""CADPO216308]",40,52
Ambient,HYD IM2,HYDERABAD,15685,Jivo Canola Cold Press Edible Oil 1.0 ltr,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,23,6222.51,"[CHCPO368342"",""CHCPO367595]",60,58
Ambient,HYD IM1,HYDERABAD,15685,Jivo Canola Cold Press Edible Oil 1.0 ltr,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,0,9271.29,"[CHMPO318593"",""CHMPO318845]",80,0
Ambient,MUM IM3,MUMBAI,15685,Jivo Canola Cold Press Edible Oil 1.0 ltr,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,21,14910,[CI3PO79698],60,120
Ambient,MUM IM1,MUMBAI,15685,Jivo Canola Cold Press Edible Oil 1.0 ltr,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,7,16143.75,[CIMPO118002],80,45
Ambient,MUM FC22,MUMBAI,15685,Jivo Canola Cold Press Edible Oil 1.0 ltr,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,20,13072.5,[CMFPO343688],40,104
Ambient,HYD IM4,HYDERABAD,15685,Jivo Canola Cold Press Edible Oil 1.0 ltr,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,0,21816.27,"[CMMPO13711"",""CMMPO12416"",""CMMPO12551"",""CMMPO12486"",""CMMPO12554"",""CMMPO13568]",220,0
Ambient,HYD IM5,HYDERABAD,15685,Jivo Canola Cold Press Edible Oil 1.0 ltr,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,365,0,[],0,0
Ambient,PUNE IM2 TEMP,PUNE,15685,Jivo Canola Cold Press Edible Oil 1.0 ltr,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,365,0,[],0,1
Ambient,PUN DELHIVERY,PUNE,15685,Jivo Canola Cold Press Edible Oil 1.0 ltr,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,1,19871.25,"[CPDPO292176"",""CPDPO293635"",""CPDPO289790"",""CPDPO291100]",200,9
Ambient,NOI IM1,NOIDA,15685,Jivo Canola Cold Press Edible Oil 1.0 ltr,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,14,26853.75,[ETPPO81893],60,151
