PoNumber,Entity,FacilityId,FacilityName,City,PoCreatedAt,PoModifiedAt,Status,SupplierCode,VendorName,PoAmount,SkuCode,SkuDescription,CategoryId,OrderedQty,ReceivedQty,BalancedQty,Tax,PoLineValueWithoutTax,PoLineValueWithTax,Mrp,UnitBasedCost,ExpectedDeliveryDate,PoExpiryDate,OtbReferenceNumber,InternalExternalPo,PoAgeing,BrandName,ReferencePoNumber
GCAPO67874,SCOOTSY LOGISTICS PRIVATE LIMITED,GCA,GOA IM1,CENTRAL GOA,2026-07-22 01:37:13,2026-07-22 01:37:13,CONFIRMED,85235374,CHIRAG ENTERPRISES,32058.00,337993,Jivo Cold Press Canola Oil 500.0 ml,"Edible Oils and Ghee, Edible Oils",24,0,24,124.57,2491.43,2616.00,188.00,103.81,2026-07-28,2026-07-31,2026_07_21_CENTRAL GOA_GOA IM1_0,external,7,Jivo,
GCAPO67874,SCOOTSY LOGISTICS PRIVATE LIMITED,GCA,GOA IM1,CENTRAL GOA,2026-07-22 01:37:13,2026-07-22 01:37:13,CONFIRMED,85235374,CHIRAG ENTERPRISES,32058.00,427256,Jivo Cold Press Sunflower Oil 500.0 ml,"Edible Oils and Ghee, Edible Oils",48,0,48,188.57,3771.43,3960.00,138.00,78.57,2026-07-28,2026-07-31,2026_07_21_CENTRAL GOA_GOA IM1_0,external,7,Jivo,
GCAPO67874,SCOOTSY LOGISTICS PRIVATE LIMITED,GCA,GOA IM1,CENTRAL GOA,2026-07-22 01:37:13,2026-07-22 01:37:13,CONFIRMED,85235374,CHIRAG ENTERPRISES,32058.00,565902,Jivo Cold Press Kachi Ghani Mustard Oil 500.0 ml,"Edible Oils and Ghee, Edible Oils",48,0,48,182.86,3657.14,3840.00,128.00,76.19,2026-07-28,2026-07-31,2026_07_21_CENTRAL GOA_GOA IM1_0,external,7,Jivo,
GCAPO67874,SCOOTSY LOGISTICS PRIVATE LIMITED,GCA,GOA IM1,CENTRAL GOA,2026-07-22 01:37:13,2026-07-22 01:37:13,CONFIRMED,85235374,CHIRAG ENTERPRISES,32058.00,575949,Jivo Sesame Oil 500.0 ml,"Edible Oils and Ghee, Edible Oils",24,0,24,147.43,2948.57,3096.00,300.00,122.86,2026-07-28,2026-07-31,2026_07_21_CENTRAL GOA_GOA IM1_0,external,7,Jivo,
GCAPO67874,SCOOTSY LOGISTICS PRIVATE LIMITED,GCA,GOA IM1,CENTRAL GOA,2026-07-22 01:37:13,2026-07-22 01:37:13,CONFIRMED,85235374,CHIRAG ENTERPRISES,32058.00,942181,Jivo Cold Press Kachi Ghani Mustard Oil 200.0 ml,"Edible Oils and Ghee, Edible Oils",490,0,490,770.00,15400.00,16170.00,100.00,31.43,2026-07-28,2026-07-31,2026_07_21_CENTRAL GOA_GOA IM1_0,external,7,Jivo,
GCAPO67874,SCOOTSY LOGISTICS PRIVATE LIMITED,GCA,GOA IM1,CENTRAL GOA,2026-07-22 01:37:13,2026-07-22 01:37:13,CONFIRMED,85235374,CHIRAG ENTERPRISES,32058.00,986423,Jivo Cold Press Groundnut Oil 500.0 ml,"Edible Oils and Ghee, Edible Oils",24,0,24,113.14,2262.86,2376.00,280.00,94.29,2026-07-28,2026-07-31,2026_07_21_CENTRAL GOA_GOA IM1_0,external,7,Jivo,
JN2PO110429,SCOOTSY LOGISTICS PRIVATE LIMITED,JN2,CHE AMB IM2,CHENNAI,2026-07-22 23:52:43,2026-07-22 23:52:43,CONFIRMED,79934149,KNOWTABLE ONLINE SERVICES PRIVATE LIMITED,163470.00,337993,Jivo Cold Press Canola Oil 500.0 ml,"Edible Oils and Ghee, Edible Oils",96,0,96,498.29,9965.71,10464.00,188.00,103.81,2026-08-06,2026-08-09,2026_07_22_CHENNAI_CHE AMB IM2_0,external,6,Jivo,
JN2PO110429,SCOOTSY LOGISTICS PRIVATE LIMITED,JN2,CHE AMB IM2,CHENNAI,2026-07-22 23:52:43,2026-07-22 23:52:43,CONFIRMED,79934149,KNOWTABLE ONLINE SERVICES PRIVATE LIMITED,163470.00,427256,Jivo Cold Press Sunflower Oil 500.0 ml,"Edible Oils and Ghee, Edible Oils",144,0,144,565.71,11314.29,11880.00,138.00,78.57,2026-08-06,2026-08-09,2026_07_22_CHENNAI_CHE AMB IM2_0,external,6,Jivo,
JN2PO110429,SCOOTSY LOGISTICS PRIVATE LIMITED,JN2,CHE AMB IM2,CHENNAI,2026-07-22 23:52:43,2026-07-22 23:52:43,CONFIRMED,79934149,KNOWTABLE ONLINE SERVICES PRIVATE LIMITED,163470.00,565902,Jivo Cold Press Kachi Ghani Mustard Oil 500.0 ml,"Edible Oils and Ghee, Edible Oils",144,0,144,548.57,10971.43,11520.00,128.00,76.19,2026-08-06,2026-08-09,2026_07_22_CHENNAI_CHE AMB IM2_0,external,6,Jivo,
JN2PO110429,SCOOTSY LOGISTICS PRIVATE LIMITED,JN2,CHE AMB IM2,CHENNAI,2026-07-22 23:52:43,2026-07-22 23:52:43,CONFIRMED,79934149,KNOWTABLE ONLINE SERVICES PRIVATE LIMITED,163470.00,575949,Jivo Sesame Oil 500.0 ml,"Edible Oils and Ghee, Edible Oils",72,0,72,442.29,8845.71,9288.00,300.00,122.86,2026-08-06,2026-08-09,2026_07_22_CHENNAI_CHE AMB IM2_0,external,6,Jivo,
