route	apps	constants
/account-select	brand-portal-client,im-discounts,im-vendor,instamart	ACCOUNT_SELECT,path,to
/brandverse	brand-portal-client,brandverse	
/brandverse-app	brandverse	
/brandverse-campaign-metrics	brand-portal-client	
/brandverse-dashboard	brandverse	
/brandverse-header	brandverse	
/brandverse-insights	brand-portal-client	
/brandverse-overview	brand-portal-client	
/brandverse/	brand-portal-client,instamart	BRANDVERSE,HOME
/brandverse/*	brand-portal-client	path
/brandverse/campaign-metrics	brand-portal-client,brandverse,im-discounts,instamart	CAMPAIGN_METRICS,brandverseCampaignMetrics
/brandverse/overview	brand-portal-client,brandverse,im-discounts,instamart	OVERVIEW,brandverseOverview
/brandverse:	brandverse	
/brandverseCampaignMetrics	brand-portal-client,im-discounts,instamart	
/brandverseClient	brandverse	
/brandverseClient/BrandverseApp	brand-portal-client	
/brandverseClient:0.0.7	brandverse	
/brandverseInsights	brand-portal-client,im-discounts,instamart	
/brandverseOverview	brand-portal-client,im-discounts,instamart	
/employee-login	brand-portal-client,im-catalog,instamart	EMPLOYEE_LOGIN,InternalLogin,loginUrl,path
/im-catalog	brand-portal-client,im-catalog,im-discounts,instamart	CATALOG,HOME,Home,catalogMyCatalog,path
/im-catalog${i}	im-catalog	
/im-catalog/*	brand-portal-client	path
/im-catalog/_private	im-catalog	id
/im-catalog/_private/	im-catalog	
/im-catalog/_private/approvals/	im-catalog	
/im-catalog/_private/change-requests/$requestId/edit/	im-catalog	
/im-catalog/_private/spin/$spinId/edit-attributes/	im-catalog	
/im-catalog/_private/update-requests/	im-catalog	
/im-catalog/approvals	brand-portal-client,im-catalog,im-discounts,instamart	Approvals,catalogApprovals
/im-catalog/change-requests/$requestId/edit	im-catalog	to
/im-catalog/spin/$spinId/edit-attributes/	im-catalog	to
/im-catalog/spin/:spinId/edit-attributes	im-catalog	EditAttributes
/im-catalog/update-requests	brand-portal-client,im-catalog,im-discounts,instamart	UpdateRequests,catalogUpdateRequests,href
/im-discounts	brand-portal-client,im-discounts,instamart	HOME,Home,discountsHome,path
/im-discounts/	brand-portal-client	HOME
/im-discounts/*	brand-portal-client	path
